행정구역(구동)별(1),행정구역(구동)별(2),연령별(1),2018,2019,2020,,,
팔달구,행궁동,10∼14세,207,181,186,,,
팔달구,행궁동,15∼19세,357,328,284,,,
팔달구,행궁동,20∼24세,645,617,600,2836,2806,2811
팔달구,행궁동,25∼29세,828,871,903,,,
팔달구,행궁동,30∼34세,623,648,737,,,
팔달구,행궁동,35∼39세,740,670,571,,,
팔달구,행궁동,40∼44세,661,642,673,3860,3737,3649
팔달구,행궁동,45∼49세,941,870,819,,,
팔달구,행궁동,50∼54세,1052,1039,992,,,
팔달구,행궁동,55∼59세,1206,1186,1165,,,
팔달구,행궁동,60∼64세,1101,1085,1107,3562,3591,3714
팔달구,행궁동,65∼69세,801,833,883,,,
팔달구,행궁동,70∼74 세,648,616,614,,,
팔달구,행궁동,75∼79세,502,522,546,,,
팔달구,행궁동,80∼84세,300,302,316,,,
팔달구,행궁동,85세이상,210,233,248,,,
팔달구,매교동,합계,6710,5946,5988,,,
팔달구,매교동,0∼4세,147,122,122,661,573,551
팔달구,매교동,5∼9세,146,132,116,,,
팔달구,매교동,10∼14세,133,124,129,,,
팔달구,매교동,15∼19세,235,195,184,,,
팔달구,매교동,20∼24세,374,333,347,1935,1754,1832
팔달구,매교동,25∼29세,584,541,565,,,
팔달구,매교동,30∼34세,489,454,504,,,
팔달구,매교동,35∼39세,488,426,416,,,
팔달구,매교동,40∼44세,463,418,380,2301,2024,1956
팔달구,매교동,45∼49세,553,478,482,,,
팔달구,매교동,50∼54세,617,523,533,,,
팔달구,매교동,55∼59세,668,605,561,,,
팔달구,매교동,60∼64세,609,519,536,1813,1595,1649
팔달구,매교동,65∼69세,391,340,365,,,
팔달구,매교동,70∼74 세,296,269,271,,,
팔달구,매교동,75∼79세,259,230,231,,,
팔달구,매교동,80∼84세,161,151,145,,,
팔달구,매교동,85세이상,97,86,101,,,
팔달구,매산동,합계,10860,10659,10677,,,
팔달구,매산동,0∼4세,253,236,212,1069,1000,913
팔달구,매산동,5∼9세,242,231,203,,,
